client_id,first_name,last_name,date_of_birth,gender,country,region,satisfaction_score,age,client_ref,total_properties,total_spend,avg_price,client_type_Individual,acquisition_purpose_Investment,loan_applied_Yes,referral_channel_Client,referral_channel_Website,region_encoded,country_encoded,cluster
C0113,Arthur,Bray,1949-07-14,M,USA,Utah,4,77,C0113,4,1414433.46,353608.365,True,True,False,False,False,48,9,3
C0114,Kamila,Collier,1962-01-21,F,USA,California,1,64,C0114,4,1124004.05,281001.0125,True,False,True,False,True,8,9,0
C0115,Amanda,Simon,1978-12-03,F,USA,California,5,48,C0115,5,1757354.59,351470.918,True,False,False,False,False,8,9,2
C0116,Erika,Steward,1955-08-07,F,USA,California,4,71,C0116,8,2484590.08,310573.76,True,True,False,False,True,8,9,4
C0117,Jakobe,Bailey,1964-10-06,M,UK,Scotland,4,62,C0117,8,2884556.25,360569.53125,True,True,False,False,False,43,8,4
C0118,Sonia,Choi,1948-11-09,F,USA,Oregon,5,78,C0118,4,1218377.19,304594.2975,True,True,False,False,False,37,9,3
C0119,Erika,Gallagher,1942-07-19,F,USA,California,1,84,C0119,4,1603043.92,400760.98,True,False,True,False,True,8,9,2
C0120,Madeline,Michael,1953-07-30,F,USA,California,4,73,C0120,5,1753587.39,350717.478,True,False,True,False,True,8,9,2
C0121,Bennett,Chen,1950-07-18,M,USA,Nevada,2,76,C0121,5,1169150.31,233830.062,True,False,False,False,True,25,9,0
C0122,Belinda,Hogan,1973-08-18,F,USA,California,1,53,C0122,4,1412560.68,353140.17,True,False,True,False,False,8,9,0
C0123,Johanna,Fisher,1962-08-25,F,USA,California,4,64,C0123,5,1821348.69,364269.738,True,False,True,False,True,8,9,2
C0124,Jaylen,Turner,1963-07-15,F,USA,California,4,63,C0124,5,1613985.08,322797.016,True,False,False,False,False,8,9,2
C0125,Michael,Juarez,1976-12-25,M,USA,Colorado,4,50,C0125,4,1341108.25,335277.0625,True,False,True,False,False,11,9,0
C0126,Adriana,Shaffer,1972-07-11,F,USA,California,2,54,C0126,5,1319929.46,263985.892,True,True,False,False,False,8,9,0
C0127,Julio,Leonard,1974-07-18,M,USA,Nevada,2,52,C0127,4,967474.23,241868.5575,True,False,True,False,True,25,9,0
C0128,Abdiel,Co,1963-05-22,M,USA,Nevada,5,63,C0128,5,1639392.9500000002,327878.59,False,True,True,False,True,25,9,2
C0129,Warren,Pugh,1973-07-17,M,USA,Arizona,5,53,C0129,4,1748372.75,437093.1875,True,True,False,False,True,1,9,2
C0130,Luis,Crane,1959-04-20,M,USA,Nevada,3,67,C0130,4,1488042.88,372010.72,True,False,True,False,True,25,9,2
C0131,Mohammad,Irwin,1971-12-02,M,USA,California,1,55,C0131,5,1428058.5499999998,285611.70999999996,True,False,False,False,True,8,9,0
C0132,Davion,Stout,1965-07-20,M,USA,Nevada,1,61,C0132,4,1203775.04,300943.76,True,False,True,False,False,25,9,0
C0133,Logan,Simmons,1946-09-14,M,USA,California,4,80,C0133,4,1449799.93,362449.9825,True,True,False,False,False,8,9,2
C0134,Kaylin,Villarreal,1932-06-13,F,Russia,Novosibirsk,3,94,C0134,5,1761669.8699999999,352333.974,True,True,False,False,True,32,7,2
C0135,Ruben,Melton,1939-03-05,M,USA,Utah,2,87,C0135,4,1221442.92,305360.73,True,True,False,False,False,48,9,3
C0136,Gianni,Fritz,1973-09-15,M,USA,California,3,53,C0136,5,1892554.72,378510.944,True,False,False,False,True,8,9,2
C0137,Emilie,Morrison,1957-10-29,F,USA,California,3,69,C0137,4,989750.45,247437.6125,True,False,True,False,True,8,9,0
C0138,Crystal,Wyatt,1939-06-30,F,USA,Oregon,3,87,C0138,5,1367824.55,273564.91000000003,True,True,True,False,True,37,9,3
C0139,Annabel,Robles,1969-10-14,F,USA,California,5,57,C0139,5,1807366.3,361473.26,True,False,True,False,True,8,9,2
C0140,Rachel,Cross,1952-06-18,F,USA,California,3,74,C0140,5,1559561.53,311912.306,True,False,False,False,True,8,9,0
C0141,Madalyn,Mercer,1986-06-21,F,USA,California,5,40,C0141,5,1765019.09,353003.818,True,False,False,False,True,8,9,2
C0142,Michelle,Cameron,1978-06-04,F,USA,Nevada,3,48,C0142,5,1673770.19,334754.038,True,False,True,False,True,25,9,2
C0143,Ezra,Lozano,1958-02-24,M,USA,California,1,68,C0143,8,2389960.3,298745.0375,True,False,False,False,True,8,9,4
C0144,Ramiro,Oneill,1954-09-29,M,USA,California,4,72,C0144,5,1897739.74,379547.948,True,False,False,False,False,8,9,2
C0145,Emely,Watts,1964-11-30,F,USA,California,4,62,C0145,5,1746571.55,349314.31,True,False,False,False,True,8,9,2
C0146,Hazel,Ayers,1963-02-01,M,USA,Colorado,2,63,C0146,4,1481536.3900000001,370384.09750000003,True,False,False,False,True,11,9,2
C0147,Cedric,Goodwin,1948-02-20,M,USA,Utah,4,78,C0147,5,1398309.27,279661.854,True,False,False,True,False,48,9,3
C0148,Dayton,Hatfield,1969-04-19,M,USA,Colorado,4,57,C0148,4,1700383.7,425095.925,True,True,True,False,False,11,9,2
C0149,Piotr,Aleksandrov,1955-12-02,M,Russia,Krasnodar Krai,3,71,C0149,4,1049009.0,262252.25,True,True,False,False,False,21,7,0
C0150,Memphis,Mcconnell,1968-08-25,M,USA,California,2,58,C0150,4,1846066.58,461516.645,True,False,True,False,True,8,9,2
C0151,Arabella,Ferrell,1976-08-17,F,USA,Oregon,1,50,C0151,5,1589086.32,317817.264,True,False,False,False,False,37,9,3
C0152,Sincere,Hansen,1967-01-19,F,USA,California,2,59,C0152,7,2539205.93,362743.7042857143,True,True,True,False,False,8,9,4
C0153,Lara,Carrillo,1983-02-24,F,USA,California,5,43,C0153,5,1560375.26,312075.052,True,False,False,False,True,8,9,2
C0154,Valentina,Simpson,1965-01-24,F,USA,California,4,61,C0154,5,2142457.31,428491.462,True,False,True,False,False,8,9,2
C0155,Kamd,Co,1975-08-18,M,USA,California,5,51,C0155,5,1622885.53,324577.106,False,True,False,False,False,8,9,2
C0156,Case,Sanchez,1966-05-26,F,USA,California,5,60,C0156,4,1344903.47,336225.8675,True,False,False,False,True,8,9,2
C0157,Van,Charles,1952-05-15,M,USA,Colorado,2,74,C0157,4,1060400.03,265100.0075,True,False,True,True,False,11,9,0
C0158,Emmy,Singh,1979-12-03,F,USA,Virginia,3,47,C0158,4,1439477.66,359869.415,True,True,True,False,False,50,9,3
C0159,Colin,Campos,1942-04-14,M,USA,California,3,84,C0159,4,1596507.45,399126.8625,True,False,False,False,True,8,9,2
C0160,Anya,Stephenson,1959-06-11,F,USA,California,4,67,C0160,5,1679716.96,335943.392,True,False,False,False,True,8,9,2
C0161,Parker,Poole,1951-11-10,M,USA,California,5,75,C0161,9,2534264.26,281584.91777777777,True,False,False,False,True,8,9,4
C0162,Ivan,Bright,1953-09-15,M,USA,California,4,73,C0162,4,1135363.52,283840.88,True,False,False,False,True,8,9,0
C0163,Larry,Turner,1986-03-24,M,USA,Utah,5,40,C0163,4,1506594.21,376648.5525,True,True,True,False,False,48,9,3
C0164,Matthew,Nelson,1986-09-20,M,USA,Arizona,5,40,C0164,4,1436152.54,359038.135,True,False,False,False,True,1,9,2
C0165,Mary,Hall,1956-07-11,F,USA,California,3,70,C0165,3,1276849.33,425616.44333333336,True,False,True,False,True,8,9,2
C0166,Carolyn,Weaver,1984-01-24,F,USA,Arizona,4,42,C0166,4,1273643.37,318410.8425,True,False,True,False,False,1,9,0
C0167,Grace,Green,1955-02-02,F,UK,Scotland,3,71,C0167,7,2749577.33,392796.7614285714,True,False,True,False,True,43,8,4
C0168,Pamela,Sanders,1960-06-06,F,USA,Nevada,3,66,C0168,4,1491785.87,372946.4675,True,False,False,False,False,25,9,2
C0169,Terry,Turner,1990-08-13,M,USA,Ohio,5,36,C0169,3,688864.2,229621.4,True,True,True,False,False,35,9,3
C0170,Jacob,Jones,1949-06-13,M,USA,California,5,77,C0170,3,1161316.17,387105.38999999996,True,False,False,False,True,8,9,2
C0171,Julie,Sanders,1991-05-05,F,USA,Washington,5,35,C0171,4,1278753.71,319688.4275,True,True,True,True,False,53,9,3
C0172,Catherine,Carter,1992-09-16,F,USA,Washington,1,34,C0172,4,1681471.9100000001,420367.97750000004,True,False,True,False,False,53,9,3
C0173,Amber,Wilson,1976-07-20,F,USA,Arizona,5,50,C0173,8,2619968.43,327496.05375,True,False,True,False,False,1,9,4
C0174,Rachel,Harris,1982-07-06,F,USA,California,3,44,C0174,3,865359.73,288453.24333333335,True,True,False,True,False,8,9,0
C0175,Brandon,Alexander,1962-04-05,M,USA,Washington,5,64,C0175,4,1606138.1199999999,401534.52999999997,True,False,False,False,False,53,9,3
C0176,Hannah,Williams,1993-06-27,F,USA,California,2,33,C0176,6,2681927.91,446987.98500000004,True,False,False,False,True,8,9,4
C0177,Sarah,Hansen,1951-03-05,F,UK,England,5,75,C0177,7,2269897.21,324271.02999999997,True,False,True,False,True,12,8,4
C0178,Laura,Chavez,1952-12-23,F,USA,Virginia,4,74,C0178,7,2665917.96,380845.42285714287,True,False,False,False,False,50,9,4
C0179,Ashley,Turner,1986-02-11,F,USA,Oregon,2,40,C0179,8,2131372.11,266421.51375,True,True,False,False,True,37,9,4
C0180,Jacob,Wilson,1943-01-28,M,USA,California,2,83,C0180,7,2660292.37,380041.76714285713,True,False,True,False,False,8,9,4
C0181,Lawrence,Peterson,1970-04-26,M,USA,Texas,2,56,C0181,7,2047189.62,292455.66000000003,True,False,True,False,True,47,9,4
C0182,Virginia,Bennett,1971-12-02,F,Germany,North Rhine-Westphalia,1,55,C0182,8,3082362.35,385295.29375,True,True,True,False,True,30,5,4
C0183,Nicholas,Green,1988-09-15,M,USA,Nevada,3,38,C0183,7,1883106.92,269015.27428571426,True,False,False,False,True,25,9,4
C0184,Peter,Pierce,1994-01-21,M,USA,Florida,1,32,C0184,6,2618938.16,436489.69333333336,True,False,False,False,True,14,9,4
C0185,Andrea,Nelson,1945-07-02,F,USA,Nevada,4,81,C0185,7,2491911.81,355987.40142857144,True,False,True,False,False,25,9,4
C0186,Carol,Green,1982-04-02,F,USA,Virginia,1,44,C0186,8,2674286.63,334285.82875,True,False,False,False,True,50,9,4
C0187,Cheryl,Kim,1990-01-17,F,USA,Florida,1,36,C0187,6,2066651.1400000001,344441.8566666667,True,False,False,False,True,14,9,4
C0188,Jose,Martin,1940-10-08,M,USA,Oregon,5,86,C0188,7,2891447.6,413063.9428571429,True,False,True,False,True,37,9,4
C0189,Anna,Adams,1958-12-11,F,USA,California,2,68,C0189,7,2209659.42,315665.6314285714,True,False,False,False,False,8,9,4
C0190,Karen,Johnson,1971-10-19,F,USA,California,2,55,C0190,7,2276701.17,325243.02428571426,True,False,False,False,True,8,9,4
C0191,Sarah,Turner,1977-05-06,F,USA,Florida,3,49,C0191,8,2172926.7600000002,271615.84500000003,True,False,False,False,False,14,9,4
C0192,Margaret,Moore,1984-02-04,F,Belgium,Brussels,2,42,C0192,7,2900509.0999999996,414358.4428571428,True,True,True,False,True,7,1,4
C0193,Sharon,Campbell,1968-08-09,F,USA,California,4,58,C0193,7,1933778.2399999998,276254.03428571427,True,True,True,False,True,8,9,4
C0194,Jonathan,Hall,1953-08-18,M,France,Ile-de-France,5,73,C0194,7,2759372.27,394196.03857142857,True,False,True,False,True,18,4,4
C0195,Sean,Jones,1947-06-19,M,USA,California,2,79,C0195,7,2102233.85,300319.12142857147,True,False,True,False,True,8,9,4
C0196,Alexander,Adams,1957-04-22,M,USA,Nevada,5,69,C0196,6,2611736.44,435289.4066666667,True,True,False,False,False,25,9,4
C0197,Kevin,Wright,1944-07-01,M,USA,Virginia,4,82,C0197,8,2775768.6,346971.075,True,False,False,True,False,50,9,4
C0198,Michelle,White,1976-01-28,F,USA,California,4,50,C0198,8,2399689.67,299961.20875,True,False,False,False,True,8,9,4
C0199,Ryan,Brown,1958-04-13,M,USA,California,3,68,C0199,7,2582959.87,368994.26714285713,True,False,False,False,False,8,9,4
C0200,Linda,Harris,1944-05-06,F,USA,California,1,82,C0200,4,1071359.3900000001,267839.84750000003,True,False,False,False,False,8,9,0
C0201,Lauren,Weaver,1968-02-13,F,USA,California,1,58,C0201,4,1298787.54,324696.885,True,False,False,False,False,8,9,0
C0202,Jack,Reyes,1996-11-11,M,Canada,British Columbia,1,30,C0202,3,1019272.5900000001,339757.53,True,False,False,False,True,5,2,1
C0203,Christine,Brooks,1956-05-18,F,USA,California,4,70,C0203,4,1242478.83,310619.7075,True,False,False,True,False,8,9,0
C0204,Joyce,Pierce,1947-01-10,F,USA,California,5,79,C0204,3,934432.98,311477.66,True,False,False,False,False,8,9,0
